symbol,sector
ABL,BANKS
HBL,BANKS
NBP,BANKS
AKBL,BANKS
BAHL,BANKS
BAFL,BANKS
BOP,BANKS
MCB,BANKS
MEBL,BANKS
UBL,BANKS
FABL,BANKS
JSBL,BANKS
SNBL,BANKS
BIPL,BANKS
SILK,BANKS
DGKC,CEMENT
MLCF,CEMENT
LUCK,CEMENT
PIOC,CEMENT
FCCL,CEMENT
KOHC,CEMENT
CHCC,CEMENT
ACPL,CEMENT
POWER,CEMENT
BWCL,CEMENT
THCCL,CEMENT
SEARL,PHARMA
AGP,PHARMA
ABOT,PHARMA
GLAXO,PHARMA
HALEON,PHARMA
CPHL,PHARMA
MACTER,PHARMA
FEROZ,PHARMA
IBLHL,PHARMA
SYS,TECHNOLOGY
NETSOL,TECHNOLOGY
AVN,TECHNOLOGY
SYM,TECHNOLOGY
OCTOPUS,TECHNOLOGY
TRG,TECHNOLOGY
AIRLINK,TECHNOLOGY
PTC,TECHNOLOGY
PAEL,ENGINEERING
ISL,STEEL
INIL,STEEL
ASTL,STEEL
AGHA,STEEL
MUGHAL,STEEL
ASL,STEEL
LOTCHEM,CHEMICAL
GCIL,CHEMICAL
EPCL,CHEMICAL
DOL,CHEMICAL
GGL,CHEMICAL
GGGL,CHEMICAL
SITC,CHEMICAL
COLG,CONSUMER
NESTLE,CONSUMER
MUREB,CONSUMER
UNITY,FOOD
ASC,FOOD
TOMCL,FOOD
PREMA,FOOD
SHEZ,FOOD
CLOV,FOOD
HASCOL,OIL_GAS
PSO,OIL_GAS
SHEL,OIL_GAS
APL,OIL_GAS
SNGP,OIL_GAS
SSGC,OIL_GAS
PPL,OIL_GAS
OGDC,OIL_GAS
POL,OIL_GAS
MARI,OIL_GAS
HUBC,POWER
KAPCO,POWER
SPWL,POWER
SGPL,POWER
KEL,POWER
NCPL,POWER
NPL,POWER
EPQL,POWER
ILP,TEXTILE
GATM,TEXTILE
NML,TEXTILE
KTML,TEXTILE
MSOT,TEXTILE
DFSM,TEXTILE
DWTM,TEXTILE
GUSM,TEXTILE
SPEL,PACKAGING
RPL,PACKAGING
MERIT,PACKAGING
CEPB,PAPER_PACKAGING
PKGS,PAPER_PACKAGING
PICT,TRANSPORT
PIBTL,TRANSPORT
PNSC,TRANSPORT
BLUEX,TRANSPORT
JSCL,INVESTMENT
AHCL,INVESTMENT
AHL,INVESTMENT
AKDSL,INVESTMENT
NEXT,INVESTMENT
LSECL,INVESTMENT
LSEVL,INVESTMENT
FFLM,MODARABA
FIBLM,MODARABA
TRSM,MODARABA
BIPLS,MODARABA
TPLP,REAL_ESTATE
TPLRF1,REAL_ESTATE
PACE,REAL_ESTATE
786,FINANCE
IMS,INSURANCE
HICL,INSURANCE
PINL,INSURANCE
AICL,INSURANCE
AGIC,INSURANCE
ALAC,INSURANCE
ALIFE,INSURANCE
TPLI,INSURANCE
EFERT,FERTILIZER
FFC,FERTILIZER
FFBL,FERTILIZER
FATIMA,FERTILIZER
ENGRO,FERTILIZER
AGL,FERTILIZER
